I need an answer.	Necesito una respuesta.
Well, you've convinced me.	Bueno, me convenciste.
Everything's free.	Todo es gratis.
You're smart.	Eres inteligente.
I love spring.	Yo amo la primavera.
Tom won't help.	Tom no ayudará.
I found them.	Las encontré.
I chose to resign.	Decidí dimitir.
Wait here.	Aguarda aquí.
Sign this.	Firmá esto.
Who does that?	¿Quién hace eso?
I'll phone you.	Te llamaré.
Check this.	Comprueba esto.
I've lost my glasses.	Perdí mis anteojos.
You're invited.	Están invitados.
Tom collects antiques.	Tom colecciona antigüedades.
Who's screaming?	¿Quién está gritando?
We exaggerated.	Exageramos.
Tom kidnapped Mary.	Tom secuestró a Mary.
You didn't pay.	Tú no pagaste.
Did Tom say that?	¿Eso dijo Tom?
Stay with us.	Quédese aquí con nosotras.
I chose to resign.	He decidido renunciar.
He was stoned.	Él fue apedreado.
You're interfering.	Usted está interfiriendo.
They were amazing.	Fueron maravillosos.
I made many changes.	Hice muchos cambios.
Attack!	¡Atacad!
Tom liked that.	A Tom le gustó.
Remember it.	Recuérdalo.
Everyone hesitated.	Todos dudaron.
It's wrong to steal.	Robar es malo.
I'll be around.	Estaré por ahí.
That's unbelievable.	Eso es increíble.
Don't mention it.	Ni lo menciones.
Go to sleep.	¡Ve a dormir!
Where was Tom?	¿Dónde estaba Tom?
Almost everyone failed.	Casi todos suspendieron.
He wants more.	Quiere más.
We'll share.	Compartiremos.
That's bad news.	Son malas noticias.
We have three airplanes.	Tenemos tres aviones.
I'm not alarmed.	No estoy preocupado.
I'm a child.	Soy un niño.
Tom looks winded.	Tom parece exhausto.
Send us your reaction.	Mándanos tu impresión.
He's probably sleeping.	Probablemente esté durmiendo.
I loved you.	Yo te quise.
I need more room.	Necesito más espacio.
I know.	Yo lo sé.
Don't trust strangers.	No confíes en extraños.
It rained this afternoon.	Llovió esta tarde.
We're with you.	Estamos con vos.
They know Tom.	Conocen a Tom.
Are you blind?	¿Sos ciego?
Is today Friday?	¿Es hoy viernes?
I love broccoli.	Me encanta el brécol.
Are you tired?	¿Estáis cansadas?
Let's go get drunk.	Vamos a emborracharnos.
It failed.	No lo consiguió.
Tom painted.	Tom pintó.
Money talks.	Poderoso caballero es Don Dinero.
Stop gawking.	Deja de mirar.
Tom was sick.	Tom estaba enfermo.
It didn't break.	No se rompió.
Get me my pills.	Consígueme mis píldoras.
I traveled by myself.	Viajé solo.
I never get drunk.	Nunca me emborracho.
It's unfortunately true.	Desafortunadamente es verdad.
Lower your voice.	Baje la voz.
Leave now!	¡Vete ya!
It's rather ironic.	Es bastante irónico.
That's your funeral.	Ese es tu funeral.
They entered cautiously.	Entraron cautelosamente.
You're very clever.	Eres muy inteligente.
Tom will walk.	Tom caminará.
Don't forget it.	No lo olvidéis.
Tom disappointed me.	Tom me desilusionó.
Leave the room.	Sal de la habitación.
Don't go in.	No entre usted.
You're ignoring me.	Me estás ignorando.
Go away.	¡Órale!
He criticizes everything.	Él critica todo.
Squirrels eat hazelnuts.	Las ardillas comen avellanas.
I saw Tom.	Vi a Tom.
I have asthma.	Tengo asma.
Come early.	Venga temprano.
I just finished.	Acabo de acabar.
Who's this from?	¿De quién es esto?
Tom walked home.	Tom caminó a casa.
Both of them survived.	Ambos sobrevivieron.
What do you mean?	¿Qué queréis decir?
Sit down, please.	Siéntense, por favor.
We're in love.	Estamos enamorados.
It looks painful.	Parece doloroso.
Can I stay?	¿Me puedo quedar?
Show me your homework.	Enséñame tus deberes.
I'm broke.	Estoy quebrado.
Defend yourself.	Defiéndete.
Try and hurry up.	¡Venga, corre! ¡Rápido!
Tom arrived late.	Tom llegó tarde.
We're getting closer.	Nos estamos acercando.
Do you understand her?	¿Tú la entiendes?
No one shouted.	Nadie gritó.
Tom is barefoot.	Tom está descalzo.
Don't laugh.	No te rías.
Don't make excuses.	No pongan excusas.
I was falsely accused.	Me acusaron injustamente.
I burned the paper.	Quemé el papel.
Tom is brave.	Tom es valiente.
Can we make it?	¿Lo conseguiremos?
We're patient.	Somos pacientes.
What does it involve?	¿Qué implica ello?
Now it gets complicated.	Ahora se complica.
Look ahead.	Mire hacia adelante.
We're sophomores.	Somos de segundo año.
When did it end?	¿Cuándo se acabó?
Is that new?	¿Es eso nuevo?
He is making cookies.	Él prepara galletas.
Come on, get up.	Vamos, levántate.
You're something else.	Eres la bomba.
I'm not lying.	No estoy mintiendo.
I'm an engineer.	Soy un ingeniero.
Stay awake.	Mantente despierto.
I'm not hiding.	No me escondo.
Let's take that chance.	Corramos ese azar.
Give us a hand.	Ayúdanos.
Tom is a pianist.	Tom es pianista.
It's still early.	Todavía es temprano.
You know something.	Ustedes saben algo.
You need to apologize.	Deberías pedir perdón.
You're in pain, aren't you?	Sufres, ¿no?
I need a ladder.	Necesito una escalera.
Tom just landed.	Tom acaba de aterrizar.
Take care.	Cuídate.
Are you polite?	¿Eres cortés?
Mary is unattractive.	Mary no es atractiva.
We were here yesterday.	Ayer estuvimos aquí.
They lost.	Perdieron.
Lower your voice.	Bajá la voz.
Go.	Váyase.
Set the table.	Pon la mesa.
His head ached.	Le dolía la cabeza.
It doesn't sound good.	No suena bien.
She's wearing tights.	Ella lleva pantis.
Use this one.	Usen esta.
OK, try again.	Bien, inténtalo otra vez.
It's a piece of cake.	Está chupado.
Let's not overreact.	No exageremos.
Tie your shoelaces.	Amárrate los cordones.
What will this accomplish?	¿Esto qué logrará?
Stop, or I'll shoot.	Alto o disparo.
He attained his goal.	Logró su cometido.
Work more.	Trabaja más.
Are you imitating me?	¿Me estás arremedando?
I'm full.	Ya me llené.
It's Christmas.	Es navidad.
It was like that.	Era tal cual.
Tom didn't understand.	Tom no lo entendía.
These are mine.	Éstos son los míos.
I'll love you always.	Siempre te amaré.
I could kill you.	Yo podría mataros.
Be brief.	Sean breves.
They surrounded Tom.	Ellos rodearon a Tom.
I need paint.	Necesito pintura.
Have a nice time.	Pásenla bien.
We were like brothers.	Éramos como hermanos.
Leave a message.	Deja un mensaje.
The story wandered.	La historia se difundió.
Today was warm.	Hoy hizo calor.
She listens to him.	Ella le escucha.
She died.	Ella murió.
Is that legal?	¿Eso es legal?
He's very stingy.	Él es muy tacaño.
I try.	Lo intento.
Who speaks French?	¿Quién habla francés?
Mary designs dresses.	Mary diseña vestidos.
Just take your pick.	Haz tu elección.
I must resist.	Yo debo resistir.
She blushed.	Ella se ruborizó.
You're sick!	Estás enfermo.
What's that there?	¿Qué es aquello?
I can't see you.	No puedo verlos.
She was falsely accused.	Fue acusada injustamente.
My stomach hurts.	Me duele mi estómago.
Tom seemed shy.	Tomás parecía tímido.
Repeat it to me.	Repítemelo.
Nobody will know.	No lo sabrá nadie.
That is her car.	Es su coche.
I'm confused.	Estoy confuso.
We saw it.	Lo vimos.
I'm feeling claustrophobic.	Me siento claustrofóbica.
Tom swam.	Tom nadó.
I lied to you.	Te mentí.
I'd rather read.	Prefiero leer.
Tom won again.	Tom ganó otra vez.
Everyone likes Tom.	Todos quieren a Tom.
Tom did it.	Tom lo hizo.
She has wine.	Ella tiene vino.
Try hard.	Inténtalo de veras.
Who got it dirty?	¿Quién la ensució?
Look at the sky.	Mira el cielo.
He was my boss.	Era mi jefe.
My name's Tom.	Mi nombre es Tom.
I'm not special.	No soy especial.
I'm optimistic.	Soy optimista.
Boil those potatoes.	Cueza usted esas papas.
Do you see something?	¿Ves algo?
We're not alone.	No estamos solos.
You can go.	Te puedes ir.
America loves you.	América los ama.
Don't exert yourself.	No te pases.
The train was derailed.	El tren descarriló.
Some civilians were killed.	Murieron algunos civiles.
Everyone, say cheese.	Todos digan "cheese".
I'll reward you.	Te recompensaré.
Yes, I did it.	Sí, lo hice.
There's no substitute.	No hay sustituto.
Move along, please.	Seguid, no os detengáis.
You need to hurry.	Debes apurarte.
Are you coming back tomorrow?	¿Vuelves mañana?
I'll go on my own.	Iré solo.
Behave well.	Pórtate bien.
Tom is divorced.	Tom es divorciado.
We'll overcome it.	Lo superaremos.
I'm worn out.	Estoy quebrado y cansado.
Tom is short.	Tom es bajo.
What's your position?	¿Qué piensas?
I'm a tennis player.	Soy tenista.
I'm grounded.	Estoy castigado.
Tom needed this.	Tom necesitaba esto.
Don't throw anything away.	No botes nada.
Keep smiling.	Sigue sonriendo.
Where's my tea?	¿Dónde está mi té?
He likes oranges.	Le gustan las naranjas.
I'm alone.	Estoy solo.
I'll be punished.	Me castigarán.
You're very beautiful.	Eres hermosísima.
We're credible.	Somos confiables.
I'll arrange it.	Lo arreglaré.
Turn on the TV.	Enciende la televisión.
Tom felt trapped.	Tom se sintió atrapado.
Explain it to me.	Acláramelo.
How weird!	¡Qué raro!
I'll go by car.	Iré en auto.
We can try.	Podemos probar.
I forgot my jacket.	Olvidé mi campera.
Where could I hide?	¿Dónde podría esconderme?
I just got up.	Recién me levanto.
Tom won't sing.	Tom no cantará.
He arrived late.	Él llegó tarde.
Let's listen to music.	Escuchemos música.
It's too fast.	Es demasiado rápido.
I'm so alone.	Estoy tan solo.
Put down your weapons!	¡Bajen las armas!
Don't be evil.	No seáis malas.
That was absurd.	Eso fue absurdo.
Nothing can stop us.	Nada puede detenernos.
No one will know.	Nadie sabrá.
Where's my lawyer?	¿Dónde está mi abogado?
He has a dog.	Tiene un perro.
Show me everything.	Muéstrame todo.
They're too dangerous.	Son demasiado peligrosas.
She might come.	Puede que venga.
You start.	Tú empieza.
I have a cough.	Tengo tos.
Be attentive.	Estar atento.
I'm starved.	¡Me muero de hambre!
I'm new around here.	Soy nuevo aquí.
Do you still smoke?	¿Aún fumas?
Your shoes stink.	Tus zapatos apestan.
Get down!	¡Abajo!
I don't know either.	Yo tampoco sé.
You have three messages.	Tienes tres mensajes.
I'm not ready.	No estoy lista.
Did you find anything?	¿Descubristeis algo?
We remember.	Nos acordamos.
Don't deceive him.	No le engañéis.
That smells delicious.	Eso huele muy bien.
Tom was sad.	Tom estaba triste.
Give me a second.	Dame un segundo.
Do you want to vote?	¿Querés votar?
It's abundantly clear.	Está meridianamente claro.
Sit over there.	Siéntense allá.
I respect your opinion.	Respeto su opinión.
We're afraid.	Estamos asustados.
Tom admires Mary.	Tom admira a Mary.
I am outraged.	Me indigna.
I'm sick.	Estoy enferma.
I smoke cigarettes.	Yo fumo cigarrillos.
I have a child.	Tengo un hijo.
Is Tom dreaming?	¿Tom está soñando?
You're special.	Eres especial.
We abhor violence.	Aborrecemos la violencia.
He seems healthy.	Parece estar sano.
We all have families.	Todos tenemos familia.
Tom felt hungry.	Tom se sintió hambriento.
She looks unhappy.	Ella parece desgraciada.
Tell me.	Cuéntame.
I see a light.	Veo una luz.
I'm so tired.	¡Estoy tan cansada!
What a fantastic coincidence!	¡Qué maravillosa coincidencia!
Thanks in advance.	Gracias por adelantado.
I have a cold.	Estoy resfriado.
Tom started writing.	Tom empezó a escribir.
Nobody is perfect.	Nadie es perfecto.
Tom is deranged.	Tom está chiflado.
Is this for sale?	¿Se vende esto?
Tom'll help.	Tom ayudará.
Champagne, please.	Champán, por favor.
Let's simply it.	Simplifiquémoslo.
We don't do anything.	No hacemos nada.
I want that one.	Quiero aquél.
They will return.	Van a regresar.
Bring me my hat.	Tráeme mi sombrero.
Empty your pockets.	¡Vaciá tus bolsillos!
Don't stop.	No pares.
Who will do it?	¿Quién lo hará?
You're very wise.	Eres muy sabio.
Where are you going?	¿Tú adónde vas?
Tom's right.	Tom tiene razón.
I'm a little sick.	Estoy algo enfermo.
Children are expensive.	Los hijos cuestan dinero.
Hang on!	¡Espera un momento!
That's just crazy.	Eso es sencillamente loco.
I need their names.	Necesito sus nombres.
Tom ditched Mary.	Tom dejó a Mary.
Tom loved us.	Tom nos amó.
They left.	Se marcharon.
Let's fly a kite.	Volemos un volantín.
I am only joking.	Sólo estoy bromeando.
Is it anything serious?	¿Es algo serio?
It's still closed.	Todavía está cerrado.
You don't understand anything.	No entiende nada.
She got angry.	Ella se cabreó.
You may go.	Puedes irte.
I ran for cover.	Corrí a refugiarme.
What about you?	¿Y tú?
I got carded.	Me pidieron identificarme.
Can I be excused?	¿Me permiten?
I'm hurt.	Estoy herido.
She's hot.	Ella es candente.
I'm not suicidal.	No soy un suicida.
You have problems.	Tienes problemas.
It's no joke.	No es una broma.
I'm thin.	Soy flaca.
Is Tom married?	¿Tomás está casado?
I left.	Salí.
Circumstances have changed.	Las circunstancias han cambiado.
It wasn't important.	No era importante.
What am I doing?	¿Qué hago?
I went back outside.	Volví a salir.
We have a bunny.	Tenemos un conejito.
We understand this.	Entendemos esto.
I'm done.	Lo dejo.
I need medical assistance.	Necesito asistencia médica.
Tom's useless.	Tomás es inservible.
I'm very old.	Soy muy vieja.
Are we almost there?	¿Ya casi llegamos?
Speak slowly, please.	Hable despacio, por favor.
He is always prepared.	Siempre está preparado.
I'll try to memorize it.	Intentaré memorizarlo.
The weather is good.	Hace bueno.
I come from Australia.	Vengo de Australia.
Leave Tom to me.	Déjame a Tom.
You should know it.	Deberías saberlo.
Keep paddling.	Continúen remando.
It is too expensive.	Es demasiado caro.
I'm awake.	Estoy despierto.
I'll finish it later.	Lo termino después.
Tom looks drunk.	Tom parece borracho.
We're special.	Somos especiales.
Shoot!	¡Dispare!
Tom wants to dance.	Tom quiere bailar.
I do remember.	Claro que recuerdo.
Tom looks strong.	Tom parece fuerte.
Come on in.	Pase.
We'll be neighbors.	Vamos a ser vecinos.
Tom is quiet.	Tomás es tranquilo.
Shut up and listen.	Cállate y escucha.
He sang and sang.	Cantó y cantó.
You're sharp.	Sois listas.
Don't tell lies.	No mientas.
He's a gardener.	Él es jardinero.
I love that commercial.	Adoro ese comercial.
The problem is prevalent.	El problema prevalece.
It's very slow.	Es muy lento.
They're Tom's.	Ellos son de Tom.
You're very wise.	Eres muy sabia.
Just take one.	Coge solo uno.
They're eating apples.	Están comiendo manzanas.
Stop yelling at me.	Deja de gritarme.
He is a student.	Él es estudiante.
Today is Thursday.	Hoy es jueves.
I'm normal.	Soy normal.
I'm a masochist.	Soy un masoquista.
It's my umbrella.	Es mi paraguas.
They were panting.	Estaban jadeando.
It's this book.	Es este libro.
Where did you go?	¿Adónde fuiste?
She blushed.	Ella se sonrojó.
This isn't mine.	Ésta no es mía.
Please forgive me.	Debe perdonarme.
Do you speak French?	¿Usted habla francés?
I played tennis.	Yo jugué al tenis.
I've been preparing.	He estado preparándome.
That's creepy.	Eso es repugnante.
You understand me.	Tú me entiendes.
That's another matter.	Eso es otra cosa.
You're not invincible.	No sos invencible.
Drink something.	Bebe algo.
They need help.	Ellos necesitan ayuda.
There will be difficulties.	Habrá dificultades.
Stay still.	No te muevas.
He achieved his goal.	Logró su cometido.
It is raining heavily.	Está lloviendo fuerte.
I love to write.	Me gusta escribir.
Watch your language.	Vigila esa boca.
This is disgusting.	Esto es repugnante.
He is not here.	No está aquí.
Was I snoring?	¿Estaba roncando?
Cows supply milk.	Las vacas dan leche.
I've broken something.	He roto algo.
Tom's fat.	Tom está gordo.
I'm feeling weak.	Me siento débil.
Say it loudly.	Dígalo fuerte.
Come on in.	Entre.
I'm homeschooled.	Me educan en casa.
Follow Tom.	Sígalo a Tomás.
I'm late.	Llego tarde.
Take off your shoes.	Sacate los zapatos.
Isn't that incredible?	¿No es increíble?
Are you sure?	¿Estás seguro?
I drove here.	Vine conduciendo.
That's not me.	Ese no soy yo.
Send it airmail.	Envíelo por correo aéreo.
Should I close?	¿Debería cerrar?
What do you know?	¿Qué sabes?
This needs to stop.	Esto debe parar.
That's perfect.	Eso es perfecto.
Stop babbling.	Pará de balbucear.
You sure are pretty.	Eres realmente hermoso.
Nobody came.	No ha venido nadie.
Doesn't anyone care?	¿A nadie le importa?
Please smile.	Sonríe.
That isn't real.	Eso no es real.
It's Saturday.	Estamos a sábado.
Do you have a cellphone?	¿Tienes celular?
What will we do?	¿Qué haremos?
Tom hates you.	Tom te odia.
Was I really boring?	¿Era tan pesado?
Don't kill me.	No me mates.
It's yours.	Es suyo.
Dinner is ready!	¡La cena está lista!
She hired him.	Ella le contrató.
Are there any risks?	¿Existe algún riesgo?
