('regresalo', 'put it back')
('tom y mary quieren verte', 'tom and mary want to see you')
('cuidado con lo que deseas porque se podria cumplir', 'be careful what you wish for you just might get it')
('te mostrare como ordenar una cabra', 'i ll show you how to milk a goat')
('errar es humano', 'to err is human')
('donde esta su maleta ?', 'where s your suitcase ?')
('no es tan simple', 'it s not that simple')
('necesitamos un traductor', 'we need an interpreter')
('ire en coche', 'i ll go by car')
('tom fue a australia a quedarse con uno de sus primos', 'tom went to australia to stay with one of his cousins')
('me gustaria que le echaras un vistazo', 'i d like you to take a look at this')
('el profesor dijo que la segunda guerra mundial se desato en', 'the teacher said that world war ii broke out in')
('el no esta asegurado', 'he s uninsured')
('el es chofer de bus', 'he is a bus driver')
('el se disfrazo de vendedor y visito su casa', 'he disguised himself as a salesman and visited her house')
('que hiciste este verano ?', 'what did you do this summer ?')
('quiero el nombre de todos los que estuvieron aca ayer', 'i want the name of everyone who was here yesterday')
('tom puso mantequilla a una rebanada de pan', 'tom buttered a slice of bread')
('estais motivados', 'you re motivated')
('supongo que eso no tiene muchas posibilidades de suceder', 'i don t suppose that there s much chance of that happening')
('conseguire la direccion de tom', 'i ll get tom s home address')
('me ves ?', 'do you see me ?')
('me quedare aqui si de verdad quieres', 'i ll stay here if you really want me to')
('esta es tu bolsa o la suya ?', 'is this your sack or hers ?')
('no fue mucho antes de que ellos hicieran su aparicion', 'it was not long before they made their appearance')
('podrias dejar este abrigo en algun lado ?', 'could you put this coat somewhere ?')
('pense que ese tipo tenia un arma asi que le dispare', 'i thought that guy had a gun so i shot him')
('los boletos se agotaron en menos de una semana', 'the tickets sold out within a week')
('ellos ya no tenian ganas de jugar', 'they didn t feel like playing any more')
('la cerca la pinto mi padre', 'the fence was painted by my father')
('me lastime la rodilla', 'i hurt my knee')
('a mi no me enganas', 'you don t fool me')
('al parecer usted ha pensado en todo', 'it seems like you ve thought of everything')
('no te quedes en boston', 'don t stay in boston')
('el se saco la cartera del bolsillo interior de su chaqueta', 'he took out the wallet from his inside jacket pocket')
('ya puedes nadar', 'you may swim now')
('tomas tiene chispa', 'tom is witty')
('ella no trato de evadir la verdad', 'she didn t try to evade the truth')
('no te molestes en llamarme', 'don t bother to call me')
('entraron', 'they came in')
('no aparecio', 'he didn t show up')
('no se que quiero hacer', 'i don t know what i want to do')
('he invitado a todos mis amigos', 'i invited all my friends')
('fue lo suficientemente insensata para creerla', 'he was foolish enough to believe her')
('ponle seguro a la puerta por favor', 'please lock the door')
('a lo mejor manana no llueve', 'maybe it won t rain tomorrow')
('tom hablo demasiado', 'tom talked too much')
('de verdad piensas que es malo ?', 'do you really think it s bad ?')
('cerra el pico !', 'shut up !')
('no vuelvas muy tarde a casa', 'don t come home too late')
('ahora que mary se ha ido tom es mas feliz', 'now that mary has left tom is happier')
('ninguno de nosotros habla en frances', 'none of us speaks french')
('compre una camara a dolares', 'i bought a camera for dollars')
('es aburrido quedarse en casa', 'staying at home is boring')
('tom salio a dar un paseo despues de dejar de llover', 'tom went out for a walk after it stopped raining')
('nadie puede hacer pizza tan bien como tom', 'nobody can make pizza as well as tom can')
('que es todo este ruido ?', 'what s all this noise ?')
('feliz ano nuevo ! igualmente !', 'a happy new year ! i wish you the same !')
('avisanos si no puedes venir a tiempo', 'let us know if you can t get here on time')
('amigos estoy muy enfadado con vosotros', 'i m really mad at you guys')
('tom todavia no puede conducir un auto', 'tom can t drive a car yet')
('pasala bien', 'have fun')
('el presidente quiere la paz verdad ?', 'the president desires peace doesn t he ?')
('esta seguro de que eso va a funcionar ?', 'are you sure it ll work ?')
('puedes adivinar que tipo de restaurante era ?', 'can you guess what type of restaurant it was ?')
('en general se va a casa a las cinco', 'he generally goes home at five o clock')
('mi tio hizo una fortuna', 'my uncle made a fortune')
('ella le aconsejo que no bebiera demasiado', 'she advised him not to drink too much')
('mi oficina esta en la quinta planta', 'my office is on the fifth floor')
('se acabo todo', 'everything s done')
('estos guantes mantuvieron calientes sus manos', 'these gloves kept her hands warm')
('el profesor nos puso bastantes deberes', 'the teacher gave us a lot of homework')
('no conocia que tom era canadiense', 'i didn t know that tom was canadian')
('estoy buscando la llave', 'i m looking for the key')
('compre eso pero jamas lo use', 'i bought that but i never used it')
('parece haber alguien en casa', 'someone seems to be at home')
('tom dice que no quiere lastimar a mary', 'tom says he doesn t want to hurt mary')
('me pagan dolares la hora', 'i am paid dollars an hour')
('que les traigo de beber ?', 'what can i get you to drink ?')
('aqui no corre el viento', 'there s no wind here')
('no lo sabia', 'i didn t know this')
('algun dia comprare una maquina de hacer algodon dulce', 'someday i ll buy a cotton candy machine')
('no he comido en varios dias', 'i haven t eaten for days')
('yo no quiero que tom se enoje', 'i don t want tom to get angry')
('puedes hacerlo no ?', 'you can do this can t you ?')
('no me importa lo que la gente piense de como me visto', 'i don t care what people think about the way i dress')
('puedes quedarte si quieres', 'you can stay if you want to')
('como principiante tom lo hizo bien', 'tom did well for a beginner')
('mi cuidad esta bien abastecida de agua', 'the city is well supplied with water')
('a veces le pongo un poco de sal', 'i sometimes put a little salt in it')
('comencemos por esa pregunta', 'let s begin with that question')
('por que decidiste comprar esta casa ?', 'why did you decide to buy this house ?')
('nunca te dejare', 'i ll never leave you')
('queremos que tom se quede y ayude', 'we want tom to stay and help')
('nunca estoy de acuerdo con el', 'i never agree with him')
('trabajare para ti mientras me sigas pagando asi de bien', 'i ll work for you as long as you keep paying me this well')
('me sentia enfermo cuando desperte esta manana', 'when i woke up this morning i felt sick')
('atributos masculinos en una mujer son vistos como fuerza por el contrario atributos femeninos en un hombre son vistos como debilidad', 'masculine qualities in a woman are seen as strength while feminine qualities in a man are viewed as weakness')
('parece que no me necesitan aqui', 'it looks like i m not needed here')
('no puede durar', 'that can t last')
('espera un poco mas', 'wait a bit more')
('vimos un castillo a lo lejos', 'we saw a castle in the distance')
('tom fingio que no tenia nada de dinero', 'tom pretended not to have any money')
('tom es el primo de mary', 'tom is mary s cousin')
('los combustibles fosiles no estaran disponibles para siempre', 'fossil fuels won t be available forever')
('esa tarea es dificil', 'this task is difficult')
('tu crees que yo quiero hacer esto ?', 'do you think i want to do this ?')
('no escuche lo que dijiste', 'i missed what you said')
('cuando lo viste a el ?', 'when did you see him ?')
('es por eso que algunos veteranos nunca quisieron hablar de la guerra', 'that s why some veterans never wanted to talk about the war')
('tom hablo con un asesor de carrera', 'tom spoke to a career advisor')
('el corrio un gran riesgo', 'he took a big risk')
('construi esta caseta yo solo', 'i built this doghouse by myself')
('algo terrible le sucedio a tom', 'something terrible happened to tom')
('es mas facil hacer planes que llevarlos a cabo', 'it is easier to make plans than to put them into practice')
('puedo verles ?', 'can i see them ?')
('esta es tu parada', 'this is your stop')
('sabes quien dijo eso ?', 'do you know who said that ?')
('voy a ver una pelicula', 'i m going to watch a movie')
('tom ha sido absuelto', 'tom has been acquitted')
('el no hizo nada', 'he hasn t done anything')
('te resultara facil', 'you ll find it s easy')
('hablaremos cuando vuelvas', 'we ll talk when you come back')
('no puedo hacer mas que esto', 'i can t do any more than this')
('ese es un pesimo consejo', 'that s terrible advice')
('necesitas escuchar eso', 'you need to listen to that')
('vamos a repasar la leccion', 'let s review lesson')
('vivia en una ciudad cerca de aqui', 'he lived in a town near by')
('asi que tu tambien hablas ingles ?', 'so do you also speak english ?')
('empecemos a las dos y media', 'let s start at')
('queres votar ?', 'do you want to vote ?')
('en japon no habia ferrocarril en esa epoca', 'there were no railroads at that time in japan')
('quede mas que satisfecho', 'i was more than satisfied')
('de hecho tienes razon', 'actually you re right')
('a tom no le podia importar menos lo que maria pensara', 'tom couldn t care less what mary thinks')
('sos muy valiente', 'you are very brave')
('tom tambien estaba alli', 'tom was also there')
('necesitas que te de algo de dinero ?', 'do you need me to give you some money ?')
('es muy dificil entenderle', 'it s very difficult to understand her')
('oi un grito y luego un choque', 'i heard a shout and then a crash')
('ellos son mis viejos amigos', 'they are my old friends')
('la sala de estar esta al final del pasillo', 'the living room is at the end of the hall')
('solia vivir aqui', 'he used to live here')
('tom tiene un boleto', 'tom has a ticket')
('solo quiero ayudar a tom', 'i just want to help tom')
('que tipo de musica quereis que toquemos ?', 'what kind of music do you want us to play ?')
('una esponja absorbe el agua', 'a sponge absorbs water')
